Total Population,ZIP Code,Median Income
1072,1001,31603
2673,1002,14855
1528,1003,3973
310,1005,33312
821,1007,40089
288,1008,33690
318,1010,36237
353,1011,33173
142,1012,36316
1680,1013,23205
1671,1020,29448
160,1022,33125
235,1026,31544
1338,1027,33523
1313,1028,35509
105,1029,29306
872,1030,33824
135,1031,27500
113,1032,42109
333,1033,39403
636,1034,36622
306,1035,31529
506,1036,33628
80,1037,28250
274,1038,36250
190,1039,40000
3063,1040,20879
411,1050,32795
189,1053,26886
568,1054,37049
1364,1056,34824
764,1057,35369
1712,1060,25175
950,1062,36973
104,1063,3438
499,1068,36067
528,1069,29883
254,1070,27614
287,1071,35857
406,1072,37875
370,1073,41551
1645,1075,27837
627,1077,35666
27,1079,27270
179,1080,24763
381,1081,26977
649,1082,28406
121,1083,24637
45,1084,27391
3050,1085,29696
89,1086,3394
47,1088,35069
1717,1089,28304
42,1092,51686
84,1093,38542
30,1094,20000
825,1095,37829
417,1096,33714
298,1098,43854
182,1103,12069
1382,1104,18915
809,1105,12071
1372,1106,48497
864,1107,13976
1542,1108,21253
2299,1109,16655
979,1118,32245
1037,1119,23383
222,1128,30035
567,1129,32287
677,1151,22677
3365,1201,27192
828,1220,29291
78,1222,35840
624,1223,36650
273,1225,35631
426,1226,28897
1031,1230,30110
520,1235,34082
117,1236,29007
368,1237,36856
534,1238,31836
300,1240,39537
27,1242,32273
75,1243,38438
185,1245,38214
1735,1247,22273
166,1253,35500
267,1254,41741
305,1255,35054
267,1256,29519
191,1257,30634
108,1258,29485
109,1259,37500
146,1262,28674
96,1264,26875
303,1266,33516
1248,1267,17274
270,1270,40304
1609,1301,27646
365,1330,37163
1300,1331,28234
529,1337,34146
29,1338,24231
462,1339,27688
397,1340,26590
426,1341,41570
109,1342,34292
15,1343,31250
361,1344,32219
163,1346,31313
15,1347,40066
156,1349,28250
50,1350,24375
189,1351,40308
392,1354,37018
256,1355,37717
331,1360,33198
708,1364,22601
317,1366,30729
274,1367,22454
288,1368,35806
719,1370,27840
433,1373,40885
221,1375,26663
436,1376,25494
290,1378,30365
304,1379,24107
3131,1420,25165
350,1430,40300
465,1431,40879
400,1432,46569
155,1434,18962
185,1436,31863
21,1438,32039
1740,1440,27274
735,1450,52183
494,1451,57301
432,1452,41069
2761,1453,30627
986,1460,42692
790,1462,41550
1044,1463,41386
622,1464,37145
192,1468,36462
654,1469,40361
400,1473,50632
195,1474,33676
591,1475,30627
1785,1501,37253
527,1503,40734
830,1504,38984
450,1505,43209
283,1506,34229
797,1507,41900
943,1510,33604
317,1515,37221
405,1516,41262
199,1518,35030
532,1519,47190
1483,1520,45588
377,1521,34681
325,1522,46667
514,1523,38542
449,1524,29578
915,1527,33388
518,1529,37581
448,1531,39667
1226,1532,44609
419,1534,41455
411,1535,35955
637,1536,46014
103,1537,29934
569,1540,35642
380,1541,52140
169,1542,40851
447,1543,43175
2189,1545,45019
1418,1550,25526
434,1560,44733
625,1562,30109
454,1564,43408
496,1566,41505
477,1568,56001
732,1569,39516
1250,1570,29659
873,1571,30042
1749,1581,50871
978,1583,32337
414,1585,29342
530,1588,32157
616,1590,48605
1940,1602,34077
1769,1603,24898
2324,1604,28551
1954,1605,21375
1367,1606,33329
492,1607,25365
217,1608,16643
1718,1609,17273
1887,1610,15109
204,1611,35043
471,1612,40851
2228,1701,46490
2490,1702,27429
33,1718,65234
499,1719,51024
1765,1720,58004
1095,1721,52584
859,1730,57317
254,1731,45068
519,1740,61429
521,1741,64098
1560,1742,62134
39,1745,67917
1254,1746,51607
346,1747,41338
1297,1748,67222
1606,1749,38506
2075,1752,35448
595,1754,44890
368,1756,50917
1879,1757,39075
2904,1760,52528
415,1770,52887
933,1772,55070
327,1773,69031
436,1775,59542
1527,1776,65431
1343,1778,70119
2592,1801,40162
1507,1803,44359
2932,1810,55126
2334,1821,40243
2222,1824,50793
1869,1826,37490
567,1827,52317
2109,1830,30453
1466,1832,32593
788,1833,49684
391,1834,32431
988,1835,35214
474,1840,15666
3243,1841,19544
1394,1843,22855
3663,1844,32387
2380,1845,46830
738,1850,22133
2066,1851,27116
2674,1852,29221
2220,1854,18804
368,1860,36313
757,1862,36738
620,1863,43645
931,1864,50676
1622,1867,51637
2452,1876,40908
664,1879,43087
1996,1880,46082
1706,1886,56537
1674,1887,44406
2353,1890,63800
118,1901,20127
3146,1902,24805
1340,1904,40137
2030,1905,27630
1688,1906,35016
1082,1907,44487
322,1908,48400
1340,1913,37891
2997,1915,32736
470,1921,53906
172,1922,43547
1901,1923,38340
317,1929,46319
2674,1930,32089
15,1937,9167
1156,1938,39223
1013,1940,51452
317,1944,46627
1533,1945,51804
692,1949,36677
1351,1950,50721
222,1951,50509
701,1952,31468
3104,1960,32318
703,1966,35796
365,1969,37642
2898,1970,31442
774,1982,41115
364,1983,48911
648,1984,19120
421,1985,50761
930,2019,40935
1620,2021,51356
444,2025,52429
2406,2026,42933
528,2030,67917
254,2032,53929
1159,2035,47401
2313,2038,47738
1661,2043,52237
906,2045,40912
1600,2048,47629
1658,2050,39094
978,2052,63423
1015,2053,53421
461,2054,44020
1289,2056,45087
1034,2061,50528
2234,2062,42303
1315,2066,49439
1294,2067,58047
159,2071,34125
2251,2072,34513
1187,2081,47012
1284,2090,61134
1237,2093,44252
256,2108,66597
332,2109,64032
133,2110,72731
480,2111,23105
608,2113,60763
1094,2114,63053
3137,2115,9240
2009,2116,54654
2107,2118,42064
1971,2119,19683
1334,2120,14271
1630,2121,19686
1580,2122,25746
3299,2124,25480
2767,2125,29494
1449,2126,26417
2809,2127,54972
3061,2128,25096
1601,2129,60146
3486,2130,42397
2466,2131,34955
1956,2132,45212
1274,2134,30562
3273,2135,36749
2138,2136,31035
3846,2138,33088
3553,2139,38476
1547,2140,46354
1327,2141,41068
321,2142,60331
1838,2143,42036
1944,2144,50959
1606,2145,35045
3336,2148,31167
2482,2149,27573
2525,2150,25940
3226,2151,28494
1440,2152,38974
4200,2155,38354
240,2163,23589
3617,2169,36002
1169,2170,39357
1225,2171,38448
1539,2176,46583
1575,2180,44277
3057,2184,41985
2129,2186,45938
946,2188,38476
748,2189,31533
1136,2190,42813
745,2191,40389
81,2199,81541
233,2210,101976
2788,2215,7189
4054,2301,25732
2326,2302,29205
373,2322,33556
2010,2324,28543
793,2330,34241
1468,2332,52370
1162,2333,36990
409,2338,32603
779,2339,46488
845,2341,39395
522,2343,34727
1378,2346,37373
1230,2347,41165
1025,2351,38777
1245,2356,44413
1117,2359,42264
4119,2360,36676
787,2364,38569
33,2366,2499
484,2367,45429
1708,2368,32012
863,2370,36611
913,2375,41576
652,2379,39120
1328,2382,36356
1477,2420,72601
1546,2421,67934
1657,2445,54717
2005,2446,51889
1283,2451,43133
1530,2452,30964
2275,2453,34230
295,2457,3032
976,2458,52967
1667,2459,61966
884,2460,60401
647,2461,68365
173,2462,46528
279,2464,49225
1114,2465,61689
