,Total Population,ZIP Code,Median Income,Has?
0,1072,1001,31603,0
1,2673,1002,14855,0
2,1528,1003,3973,0
3,310,1005,33312,0
4,821,1007,40089,0
5,288,1008,33690,0
6,318,1010,36237,0
7,353,1011,33173,0
8,142,1012,36316,0
9,1680,1013,23205,0
10,1671,1020,29448,1
11,160,1022,33125,0
12,235,1026,31544,0
13,1338,1027,33523,0
14,1313,1028,35509,1
15,105,1029,29306,0
16,872,1030,33824,0
17,135,1031,27500,0
18,113,1032,42109,0
19,333,1033,39403,0
20,636,1034,36622,0
21,306,1035,31529,1
22,506,1036,33628,0
23,80,1037,28250,0
24,274,1038,36250,0
25,190,1039,40000,0
26,3063,1040,20879,1
27,411,1050,32795,0
28,189,1053,26886,0
29,568,1054,37049,0
30,1364,1056,34824,0
31,764,1057,35369,0
32,1712,1060,25175,0
33,950,1062,36973,0
34,104,1063,3438,0
35,499,1068,36067,0
36,528,1069,29883,0
37,254,1070,27614,0
38,287,1071,35857,0
39,406,1072,37875,0
40,370,1073,41551,0
41,1645,1075,27837,0
42,627,1077,35666,0
43,27,1079,27270,0
44,179,1080,24763,0
45,381,1081,26977,0
46,649,1082,28406,0
47,121,1083,24637,0
48,45,1084,27391,0
49,3050,1085,29696,0
50,89,1086,3394,0
51,47,1088,35069,0
52,1717,1089,28304,1
53,42,1092,51686,0
54,84,1093,38542,0
55,30,1094,20000,0
56,825,1095,37829,0
57,417,1096,33714,0
58,298,1098,43854,0
59,182,1103,12069,0
60,1382,1104,18915,0
61,809,1105,12071,0
62,1372,1106,48497,0
63,864,1107,13976,0
64,1542,1108,21253,0
65,2299,1109,16655,0
66,979,1118,32245,0
67,1037,1119,23383,0
68,222,1128,30035,0
69,567,1129,32287,0
70,677,1151,22677,0
71,3365,1201,27192,0
72,828,1220,29291,0
73,78,1222,35840,0
74,624,1223,36650,0
75,273,1225,35631,0
76,426,1226,28897,0
77,1031,1230,30110,0
78,520,1235,34082,0
79,117,1236,29007,0
80,368,1237,36856,0
81,534,1238,31836,0
82,300,1240,39537,0
83,27,1242,32273,0
84,75,1243,38438,0
85,185,1245,38214,0
86,1735,1247,22273,0
87,166,1253,35500,0
88,267,1254,41741,0
89,305,1255,35054,0
90,267,1256,29519,0
91,191,1257,30634,0
92,108,1258,29485,0
93,109,1259,37500,0
94,146,1262,28674,0
95,96,1264,26875,0
96,303,1266,33516,0
97,1248,1267,17274,0
98,270,1270,40304,0
99,1609,1301,27646,0
100,365,1330,37163,0
101,1300,1331,28234,0
102,529,1337,34146,0
103,29,1338,24231,0
104,462,1339,27688,0
105,397,1340,26590,0
106,426,1341,41570,0
107,109,1342,34292,0
108,15,1343,31250,0
109,361,1344,32219,0
110,163,1346,31313,0
111,15,1347,40066,0
112,156,1349,28250,0
113,50,1350,24375,0
114,189,1351,40308,0
115,392,1354,37018,0
116,256,1355,37717,0
117,331,1360,33198,0
118,708,1364,22601,0
119,317,1366,30729,0
120,274,1367,22454,0
121,288,1368,35806,0
122,719,1370,27840,0
123,433,1373,40885,0
124,221,1375,26663,0
125,436,1376,25494,0
126,290,1378,30365,0
127,304,1379,24107,0
128,3131,1420,25165,0
129,350,1430,40300,0
130,465,1431,40879,0
131,400,1432,46569,0
132,155,1434,18962,0
133,185,1436,31863,0
134,21,1438,32039,0
135,1740,1440,27274,0
136,735,1450,52183,0
137,494,1451,57301,0
138,432,1452,41069,0
139,2761,1453,30627,0
140,986,1460,42692,0
141,790,1462,41550,0
142,1044,1463,41386,0
143,622,1464,37145,0
144,192,1468,36462,0
145,654,1469,40361,0
146,400,1473,50632,0
147,195,1474,33676,0
148,591,1475,30627,0
149,1785,1501,37253,0
150,527,1503,40734,0
151,830,1504,38984,0
152,450,1505,43209,0
153,283,1506,34229,0
154,797,1507,41900,0
155,943,1510,33604,0
156,317,1515,37221,0
157,405,1516,41262,0
158,199,1518,35030,0
159,532,1519,47190,0
160,1483,1520,45588,0
161,377,1521,34681,0
162,325,1522,46667,0
163,514,1523,38542,0
164,449,1524,29578,0
165,915,1527,33388,0
166,518,1529,37581,0
167,448,1531,39667,0
168,1226,1532,44609,0
169,419,1534,41455,0
170,411,1535,35955,0
171,637,1536,46014,0
172,103,1537,29934,0
173,569,1540,35642,0
174,380,1541,52140,0
175,169,1542,40851,0
176,447,1543,43175,0
177,2189,1545,45019,1
178,1418,1550,25526,0
179,434,1560,44733,0
180,625,1562,30109,0
181,454,1564,43408,0
182,496,1566,41505,0
183,477,1568,56001,0
184,732,1569,39516,0
185,1250,1570,29659,0
186,873,1571,30042,0
187,1749,1581,50871,1
188,978,1583,32337,0
189,414,1585,29342,0
190,530,1588,32157,0
191,616,1590,48605,0
192,1940,1602,34077,0
193,1769,1603,24898,0
194,2324,1604,28551,0
195,1954,1605,21375,0
196,1367,1606,33329,0
197,492,1607,25365,0
198,217,1608,16643,0
199,1718,1609,17273,0
200,1887,1610,15109,0
201,204,1611,35043,0
202,471,1612,40851,0
203,2228,1701,46490,1
204,2490,1702,27429,0
205,33,1718,65234,0
206,499,1719,51024,0
207,1765,1720,58004,0
208,1095,1721,52584,0
