,0,Zip_Code,Total_Population,Median_Income,num_of_fast_food,num_of_mex_restaurants
131,0.5737748760590854,1001.0,17537.0,57694.0,87.0,30.0
132,0.5642695743655604,1002.0,30280.0,52379.0,38.0,33.0
133,0.5338402704403932,1003.0,11131.0,2499.0,18.0,14.0
134,0.7710619613363893,1005.0,5014.0,70325.0,7.0,632.0
135,0.6029916966586099,1007.0,14906.0,86165.0,255.0,97.0
136,0.5918745645013157,1008.0,1272.0,62750.0,7.0,5.0
138,0.609542985943819,1010.0,3724.0,86523.0,37.0,7.0
139,0.6048343171394942,1011.0,1507.0,75263.0,218.0,88.0
140,0.657944228010897,1012.0,531.0,70114.0,11.0,234.0
141,0.5531839132189431,1013.0,23026.0,39868.0,158.0,51.0
143,0.5718991451589084,1022.0,2604.0,43349.0,76.0,23.0
144,0.5909238213941911,1026.0,958.0,51442.0,489.0,216.0
145,0.5806910230229753,1027.0,17870.0,63699.0,239.0,93.0
147,0.6977788876011467,1029.0,728.0,50750.0,9.0,449.0
148,0.5893773340631066,1030.0,11211.0,71716.0,79.0,20.0
149,0.5730004085069755,1031.0,1151.0,41875.0,266.0,97.0
150,0.6077990349460788,1032.0,551.0,78011.0,27.0,18.0
151,0.6144969125327032,1033.0,6300.0,89965.0,127.0,55.0
152,0.6141283203969273,1034.0,2313.0,87045.0,309.0,117.0
154,0.605401204557226,1036.0,5193.0,81304.0,15.0,7.0
155,0.7902181108951531,1037.0,772.0,92750.0,10.0,596.0
156,0.5982165956404631,1038.0,2897.0,67096.0,28.0,28.0
157,0.611584758266196,1039.0,1129.0,80000.0,39.0,32.0
159,0.595662045656645,1050.0,2334.0,68869.0,16.0,5.0
160,0.5930184328982204,1053.0,1658.0,62222.0,14.0,16.0
161,0.614115190298886,1054.0,1997.0,87174.0,49.0,22.0
162,0.581904920251001,1056.0,21331.0,67715.0,148.0,62.0
163,0.5983607223484306,1057.0,8801.0,78986.0,45.0,10.0
164,0.5786716876048609,1060.0,15729.0,57485.0,64.0,38.0
165,0.5975586106605203,1062.0,10587.0,73438.0,61.0,39.0
168,0.6118373779354831,1068.0,1849.0,85938.0,15.0,5.0
169,0.5811743359822925,1069.0,8919.0,59211.0,39.0,11.0
170,0.6401549353231695,1070.0,637.0,57000.0,5.0,215.0
171,0.5943088018185223,1071.0,1206.0,67132.0,34.0,9.0
172,0.5997972348484476,1072.0,1490.0,72000.0,39.0,16.0
173,0.6151455907083355,1073.0,6090.0,89423.0,137.0,63.0
175,0.584825401932824,1075.0,17755.0,66681.0,138.0,63.0
176,0.5936999107622789,1077.0,9711.0,76737.0,160.0,44.0
177,0.5631103830693684,1079.0,480.0,27105.0,8.0,15.0
178,0.5830973811843448,1080.0,2532.0,49844.0,8.0,22.0
179,0.5776868783844115,1081.0,1827.0,50465.0,400.0,136.0
180,0.574185650304834,1082.0,10637.0,51768.0,261.0,95.0
181,0.5905179143030551,1083.0,3182.0,65547.0,37.0,7.0
182,0.6253824117124052,1084.0,183.0,90625.0,610.0,250.0
183,0.5615742062714977,1085.0,41652.0,62423.0,268.0,105.0
185,0.584443676595622,1088.0,399.0,51406.0,22.0,20.0
187,0.6286220676875905,1092.0,1133.0,75799.0,11.0,105.0
188,0.6453276241610367,1093.0,348.0,103750.0,10.0,62.0
189,0.7265260629289048,1094.0,327.0,21250.0,11.0,657.0
190,0.6182221239930428,1095.0,14659.0,104128.0,149.0,53.0
191,0.605655985617881,1096.0,2607.0,77083.0,26.0,20.0
193,0.612443386608895,1098.0,1186.0,76563.0,652.0,270.0
194,0.5499309907062717,1103.0,2409.0,16720.0,23.0,8.0
195,0.5451921150078767,1104.0,23635.0,30053.0,113.0,39.0
196,0.544686230792839,1105.0,11601.0,17569.0,41.0,18.0
197,0.6250636195106917,1106.0,16048.0,111231.0,74.0,31.0
198,0.5527879524711682,1107.0,11304.0,26772.0,50.0,22.0
199,0.5493418336062101,1108.0,28925.0,38499.0,76.0,30.0
200,0.5445130843664624,1109.0,30125.0,35191.0,110.0,37.0
201,0.5790182770623014,1118.0,14774.0,61112.0,79.0,29.0
202,0.5682758139080905,1119.0,13236.0,47439.0,81.0,30.0
203,0.6045990435634402,1128.0,2798.0,65977.0,12.0,53.0
204,0.5878839445475369,1129.0,6750.0,63895.0,69.0,26.0
205,0.5657549579175076,1151.0,8884.0,40360.0,79.0,31.0
207,0.5459654541751368,1201.0,44775.0,47614.0,29.0,17.0
208,0.5745869359811686,1220.0,8211.0,49777.0,17.0,10.0
209,0.6058431517744118,1222.0,818.0,74583.0,46.0,33.0
210,0.6054319155045782,1223.0,2351.0,77857.0,76.0,35.0
212,0.5894091390179265,1225.0,3169.0,61512.0,31.0,17.0
213,0.5854094411368085,1226.0,6839.0,61063.0,28.0,13.0
215,0.592427526204632,1230.0,8359.0,65214.0,57.0,42.0
216,0.5897256593099589,1235.0,2671.0,63000.0,33.0,12.0
217,0.5866471583239729,1236.0,1197.0,57014.0,6.0,7.0
218,0.6117314158400562,1237.0,2662.0,84615.0,67.0,33.0
