Brand,Address,Locality,Region,Postal Code,Date,Time
Chipotle,346 W Magnolia Ave,Auburn,AL,36832,2019-05-09,12:13:58
Chipotle,300 20th St S,Birmingham,AL,35233,2019-05-09,12:06:15
Chipotle,3220 Morrow Rd,Birmingham,AL,35235,2019-05-09,12:06:15
Chipotle,4719 Highway 280,Birmingham,AL,35242,2019-05-09,12:06:16
Chipotle,1759 Montgomery Hwy,Hoover,AL,35244,2019-05-09,12:13:59
Chipotle,5900 University Dr NW,Huntsville,AL,35806,2019-05-09,12:13:59
Chipotle,3871 Airport Blvd,Mobile,AL,36608,2019-05-09,12:06:16
Chipotle,7765 Airport Blvd,Mobile,AL,36608,2019-05-09,12:06:16
Chipotle,2560 Berryhill Rd,Montgomery,AL,36117,2019-05-09,12:13:59
Chipotle,2125 Interstate Dr,Opelika,AL,36801,2019-05-09,12:14:00
Chipotle,2566 Cobbs Ford Rd,Prattville,AL,36066,2019-05-09,12:14:00
Chipotle,1203 University Blvd,Tuscaloosa,AL,35401,2019-05-09,12:06:17
Chipotle,1800 McFarland Blvd E,Tuscaloosa,AL,35404,2019-05-09,12:06:17
Chipotle,1031 Montgomery Hwy,Vestavia Hills,AL,35216,2019-05-09,12:14:00
Chipotle,2400 SE Walton Blvd,Bentonville,AR,72712,2019-05-09,12:14:08
Chipotle,915 E Oak St,Conway,AR,72032,2019-05-09,12:14:08
Chipotle,3379 N College Ave,Fayetteville,AR,72703,2019-05-09,12:06:41
Chipotle,550 W Dickson St,Fayetteville,AR,72701,2019-05-09,12:06:42
Chipotle,100 S University Ave,Little Rock,AR,72205,2019-05-09,12:06:42
Chipotle,11525 Cantrell Rd,Little Rock,AR,72212,2019-05-09,12:06:42
Chipotle,9925 W McDowell Rd,Avondale,AZ,85392,2019-05-09,12:14:01
Chipotle,944 S Watson Rd,Buckeye,AZ,85326,2019-05-09,12:14:01
Chipotle,1775 E Florence Blvd,Casa Grande,AZ,85122,2019-05-09,12:14:02
Chipotle,2895 S Alma School Rd,Chandler,AZ,85286,2019-05-09,12:06:17
Chipotle,3395 W Chandler Blvd,Chandler,AZ,85226,2019-05-09,12:06:18
Chipotle,890 N 54th St,Chandler,AZ,85226,2019-05-09,12:06:18
Chipotle,1111 S Plaza Way,Flagstaff,AZ,86001,2019-05-09,12:14:02
Chipotle,1084 S Gilbert Rd,Gilbert,AZ,85296,2019-05-09,12:06:18
Chipotle,1546 N Cooper Rd,Gilbert,AZ,85233,2019-05-09,12:06:19
Chipotle,2224 E Williams Field Rd,Gilbert,AZ,85295,2019-05-09,12:06:19
Chipotle,3757 S Gilbert Rd,Gilbert,AZ,85297,2019-05-09,12:06:19
Chipotle,20004 N 67th Ave,Glendale,AZ,85308,2019-05-09,12:06:20
Chipotle,5849 W Northern Ave,Glendale,AZ,85301,2019-05-09,12:06:20
Chipotle,5880 W Thunderbird Rd,Glendale,AZ,85306,2019-05-09,12:06:20
Chipotle,7700 W Arrowhead Towne Ctr,Glendale,AZ,85308,2019-05-09,12:06:20
Chipotle,9410 W Hanna Ln,Glendale,AZ,85305,2019-05-09,12:06:21
Chipotle,1560 N Litchfield Rd,Goodyear,AZ,85395,2019-05-09,12:14:03
Chipotle,3455 N Stockton Hill Rd,Kingman,AZ,86409,2019-05-09,12:14:03
Chipotle,55 Lake Havasu Ave S,Lake Havasu City,AZ,86403,2019-05-09,12:14:03
Chipotle,5130 W Baseline Rd,Laveen,AZ,85339,2019-05-09,12:14:04
Chipotle,5940 W Arizona Pavillions Dr,Marana,AZ,85743,2019-05-09,12:14:04
Chipotle,21423 N John Wayne Pkwy,Maricopa,AZ,85139,2019-05-09,12:14:04
Chipotle,1229 E McKellips Rd,Mesa,AZ,85203,2019-05-09,12:06:21
Chipotle,1335 S Alma School Rd,Mesa,AZ,85210,2019-05-09,12:06:22
Chipotle,1411 S Power Rd,Mesa,AZ,85206,2019-05-09,12:06:23
Chipotle,1955 S Signal Butte Rd,Mesa,AZ,85209,2019-05-09,12:06:23
Chipotle,2849 N Power Rd,Mesa,AZ,85215,2019-05-09,12:06:23
Chipotle,3440 E Baseline Rd,Mesa,AZ,85204,2019-05-09,12:06:24
Chipotle,4984 S Power Rd,Mesa,AZ,85212,2019-05-09,12:06:24
Chipotle,10604 N Oracle Rd,Oro Valley,AZ,85704,2019-05-09,12:14:05
Chipotle,16680 N 83rd Ave,Peoria,AZ,85382,2019-05-09,12:06:24
Chipotle,9940 W Happy Valley Pkwy,Peoria,AZ,85383,2019-05-09,12:06:25
Chipotle,100 E Camelback Rd,Phoenix,AZ,85012,2019-05-09,12:06:25
Chipotle,11 W Washington St,Phoenix,AZ,85003,2019-05-09,12:06:25
Chipotle,1515 N 7th Ave,Phoenix,AZ,85007,2019-05-09,12:06:26
Chipotle,1660 E Camelback Rd,Phoenix,AZ,85016,2019-05-09,12:06:26
Chipotle,16635 N Tatum Blvd,Phoenix,AZ,85032,2019-05-09,12:06:26
Chipotle,21001 N Tatum Blvd,Phoenix,AZ,85050,2019-05-09,12:06:27
Chipotle,2415 E Baseline Rd,Phoenix,AZ,85042,2019-05-09,12:06:27
Chipotle,2450 W Bell Rd,Phoenix,AZ,85023,2019-05-09,12:06:27
Chipotle,2470 W Happy Valley Rd,Phoenix,AZ,85085,2019-05-09,12:06:28
Chipotle,3009 W. Aqua Fria Freeway,Phoenix,AZ,85027,2019-05-09,12:06:28
Chipotle,3039 W Peoria Ave,Phoenix,AZ,85029,2019-05-09,12:06:28
Chipotle,3125 E Indian School Rd,Phoenix,AZ,85016,2019-05-09,12:06:29
Chipotle,4111 E Chandler Blvd,Phoenix,AZ,85048,2019-05-09,12:06:29
Chipotle,425 E Bell Rd,Phoenix,AZ,85022,2019-05-09,12:06:29
Chipotle,4423 E. Thomas Road,Phoenix,AZ,85018,2019-05-09,12:06:30
Chipotle,4622 E Cactus Rd,Phoenix,AZ,85032,2019-05-09,12:06:30
Chipotle,4705 E Broadway Rd,Phoenix,AZ,85040,2019-05-09,12:06:31
Chipotle,7427 W Thomas Rd,Phoenix,AZ,85033,2019-05-09,12:06:31
Chipotle,351 N Montezuma St,Prescott,AZ,86301,2019-05-09,12:14:05
Chipotle,5791 E State Route 69,Prescott Valley,AZ,86314,2019-05-09,12:14:06
Chipotle,21172 S Ellsworth Loop Rd,Queen Creek,AZ,85142,2019-05-09,12:14:06
Chipotle,11015 N Scottsdale Rd,Scottsdale,AZ,85254,2019-05-09,12:06:31
Chipotle,15035 N Thompson Peak Pkwy,Scottsdale,AZ,85260,2019-05-09,12:06:32
Chipotle,15425 N Scottsdale Rd,Scottsdale,AZ,85254,2019-05-09,12:06:32
Chipotle,20851 N Scottsdale Rd,Scottsdale,AZ,85255,2019-05-09,12:06:32
Chipotle,2805 N Scottsdale Rd,Scottsdale,AZ,85257,2019-05-09,12:06:33
Chipotle,4513 N Scottsdale Rd,Scottsdale,AZ,85251,2019-05-09,12:06:33
Chipotle,7014 E Camelback Rd,Scottsdale,AZ,85251,2019-05-09,12:06:33
Chipotle,8320 N Hayden Rd,Scottsdale,AZ,85258,2019-05-09,12:06:34
Chipotle,9010 E Talking Stick Way,Scottsdale,AZ,85250,2019-05-09,12:06:36
Chipotle,9301 E Shea Blvd,Scottsdale,AZ,85260,2019-05-09,12:06:37
Chipotle,361 Forest Rd,Sedona,AZ,86336,2019-05-09,12:14:07
Chipotle,480 N Highway 90 Byp,Sierra Vista,AZ,85635,2019-05-09,12:14:07
Chipotle,13869 W Bell Rd,Surprise,AZ,85374,2019-05-09,12:14:07
Chipotle,1038 S Mill Ave,Tempe,AZ,85281,2019-05-09,12:06:37
Chipotle,2000 E Rio Salado Pkwy,Tempe,AZ,85281,2019-05-09,12:06:37
Chipotle,2020 E Elliot Rd,Tempe,AZ,85284,2019-05-09,12:06:37
Chipotle,815 E Baseline Rd,Tempe,AZ,85283,2019-05-09,12:06:38
Chipotle,1202 W Irvington Rd,Tucson,AZ,85714,2019-05-09,12:06:38
Chipotle,235 W Wetmore Rd,Tucson,AZ,85705,2019-05-09,12:06:38
Chipotle,3055 N Campbell Ave,Tucson,AZ,85719,2019-05-09,12:06:39
Chipotle,4774 E Grant Rd,Tucson,AZ,85712,2019-05-09,12:06:39
Chipotle,5870 E Broadway Blvd,Tucson,AZ,85711,2019-05-09,12:06:39
Chipotle,6501 E Grant Rd,Tucson,AZ,85715,2019-05-09,12:06:40
Chipotle,7555 N La Cholla Blvd,Tucson,AZ,85741,2019-05-09,12:06:40
Chipotle,905 E University Blvd,Tucson,AZ,85719,2019-05-09,12:06:41
Chipotle,9484 E 22nd St,Tucson,AZ,85710,2019-05-09,12:06:41
Chipotle,1525 S Yuma Palms Pkwy,Yuma,AZ,85365,2019-05-09,12:14:08
Chipotle,2314 S Shore Ctr,Alameda,CA,94501,2019-05-09,12:06:42
Chipotle,2610 5th St,Alameda,CA,94501,2019-05-09,12:06:43
Chipotle,2121 W Main St,Alhambra,CA,91801,2019-05-09,12:14:09
Chipotle,2002 E Lincoln Ave,Anaheim,CA,92806,2019-05-09,12:06:43
Chipotle,5631 E La Palma Ave,Anaheim,CA,92807,2019-05-09,12:06:43
Chipotle,8182 E Santa Ana Canyon Rd,Anaheim,CA,92808,2019-05-09,12:06:44
Chipotle,927 S Euclid St,Anaheim,CA,92802,2019-05-09,12:06:44
Chipotle,19179 Bear Valley Rd,Apple Valley,CA,92308,2019-05-09,12:14:10
Chipotle,400 S Baldwin Ave,Arcadia,CA,91007,2019-05-09,12:14:10
Chipotle,1229 E Grand Ave,Arroyo Grande,CA,93420,2019-05-09,12:14:10
Chipotle,2845 Bell Rd,Auburn,CA,95603,2019-05-09,12:14:11
Chipotle,860 E Alosta Ave,Azusa,CA,91702,2019-05-09,12:14:11
Chipotle,10510 Stockdale Hwy,Bakersfield,CA,93311,2019-05-09,12:06:45
Chipotle,2630 Mt Vernon Avenue,Bakersfield,CA,93306,2019-05-09,12:06:45
Chipotle,2701 Ming Ave,Bakersfield,CA,93304,2019-05-09,12:06:45
Chipotle,4580 Coffee Rd,Bakersfield,CA,93308,2019-05-09,12:06:46
Chipotle,4950 Stockdale Hwy,Bakersfield,CA,93309,2019-05-09,12:06:46
Chipotle,5321 Gosford Rd,Bakersfield,CA,93313,2019-05-09,12:06:46
Chipotle,3939 Crenshaw Blvd,Baldwin Hills,CA,90008,2019-05-09,12:14:11
Chipotle,13916 Garvey Ave,Baldwin Park,CA,91706,2019-05-09,12:14:12
Chipotle,300 S Highland Springs Ave,Banning,CA,92220,2019-05-09,12:14:12
Chipotle,2590 High Point Pkwy,Barstow,CA,92311,2019-05-09,12:14:12
Chipotle,1050 Gilman St,Berkeley,CA,94710,2019-05-09,12:06:47
Chipotle,2225 Shattuck Ave,Berkeley,CA,94704,2019-05-09,12:06:47
Chipotle,2311 Telegraph Ave,Berkeley,CA,94704,2019-05-09,12:06:48
Chipotle,244 S Beverly Dr,Beverly Hills,CA,90212,2019-05-09,12:06:48
Chipotle,475 N Beverly Dr,Beverly Hills,CA,90210,2019-05-09,12:06:48
Chipotle,1065 Brea Mall,Brea,CA,92821,2019-05-09,12:06:49
Chipotle,477 S Associated Rd,Brea,CA,92821,2019-05-09,12:06:49
Chipotle,5401 Lone Tree Way,Brentwood,CA,94513,2019-05-09,12:14:13
Chipotle,5976 Orangethorpe Ave,Buena Park,CA,90620,2019-05-09,12:14:13
Chipotle,135 E Palm Ave,Burbank,CA,91502,2019-05-09,12:06:49
Chipotle,4012 W Riverside Dr,Burbank,CA,91505,2019-05-09,12:06:50
Chipotle,48557 Morongo Trail,Cabazon,CA,92230,2019-05-09,12:14:14
Chipotle,660 Ventura Blvd,Camarillo,CA,93010,2019-05-09,12:14:14
Chipotle,1815 S Bascom Ave,Campbell,CA,95008,2019-05-09,12:14:15
Chipotle,6600 Topanga Canyon Blvd,Canoga Park,CA,91303,2019-05-09,12:14:15
Chipotle,1955 41st Ave,Capitola,CA,95010,2019-05-09,12:14:15
Chipotle,2505 Palomar Airport Rd,Carlsbad,CA,92011,2019-05-09,12:06:50
Chipotle,3416 Via Mercato,Carlsbad,CA,92009,2019-05-09,12:06:50
Chipotle,20420 Avalon Blvd,Carson,CA,90746,2019-05-09,12:14:16
Chipotle,3369 Castro Valley Blvd,Castro Valley,CA,94546,2019-05-09,12:14:16
Chipotle,10826 Alondra Blvd,Cerritos,CA,90703,2019-05-09,12:06:51
Chipotle,12560 Artesia Blvd,Cerritos,CA,90703,2019-05-09,12:06:51
Chipotle,459 Los Cerritos Mall,Cerritos,CA,90703,2019-05-09,12:06:51
Chipotle,9175 De Soto Ave,Chatsworth,CA,91311,2019-05-09,12:14:17
Chipotle,1960 E 20th St,Chico,CA,95928,2019-05-09,12:06:52
Chipotle,620 Mangrove Ave,Chico,CA,95926,2019-05-09,12:06:52
Chipotle,12188 Central Ave,Chino,CA,91710,2019-05-09,12:14:17
Chipotle,13920 City Center Dr,Chino Hills,CA,91709,2019-05-09,12:14:17
Chipotle,2290 Otay Lakes Rd,Chula Vista,CA,91915,2019-05-09,12:06:53
Chipotle,569 H St,Chula Vista,CA,91910,2019-05-09,12:06:53
Chipotle,720 Otay Lakes Rd,Chula Vista,CA,91910,2019-05-09,12:06:53
Chipotle,5851 Sunrise Blvd,Citrus Heights,CA,95610,2019-05-09,12:14:18
Chipotle,17501 Colima Rd,City Of Industry,CA,91748,2019-05-09,12:14:18
Chipotle,885 S Indian Hill Blvd,Claremont,CA,91711,2019-05-09,12:14:19
Chipotle,1210 Shaw Ave,Clovis,CA,93612,2019-05-09,12:06:54
Chipotle,1840 Herndon Ave,Clovis,CA,93611,2019-05-09,12:06:54
Chipotle,990 Serramonte Blvd,Colma,CA,94014,2019-05-09,12:14:19
Chipotle,100 Citadel Dr,Commerce,CA,90040,2019-05-09,12:14:20
