ID,Zip_Code,Total_Population,Has?
1,601,17599,0
2,602,39209,0
3,603,50135,0
4,606,6304,0
5,610,27590,0
6,612,62566,0
7,616,10687,0
8,617,24508,0
9,622,7405,0
10,623,42321,0
11,624,23238,0
12,627,32936,0
13,631,1555,0
14,637,23610,0
15,638,17202,0
16,641,28332,0
17,646,38008,0
18,647,5610,0
19,650,14664,0
20,652,3681,0
21,653,11717,0
22,656,19546,0
23,659,40978,0
24,660,16474,0
25,662,41341,0
26,664,15396,0
27,667,24089,0
28,669,26510,0
29,670,8797,0
30,674,40826,0
31,676,37862,0
32,677,14569,0
33,678,26642,0
34,680,48035,0
35,682,32820,0
36,683,31627,0
37,685,38849,0
38,687,31785,0
39,688,12360,0
40,690,5587,0
41,692,36218,0
42,693,56327,0
43,694,88,0
44,698,37493,0
45,703,27137,0
46,704,7842,0
47,705,23831,0
48,707,11240,0
49,714,18363,0
50,715,3645,0
51,716,29191,0
52,717,17285,0
53,718,26073,0
54,719,29684,0
55,720,21753,0
56,723,17826,0
57,725,82822,0
58,727,56023,0
59,728,40326,0
60,729,52244,0
61,730,32735,0
62,731,13862,0
63,735,12749,0
64,736,48476,0
65,738,31558,0
66,739,37380,0
67,740,1517,0
68,741,5168,0
69,745,52624,0
70,751,22174,0
71,754,38636,0
72,757,22475,0
73,765,8721,0
74,766,23931,0
75,767,35042,0
76,769,39605,0
77,771,37705,0
78,772,20784,0
79,773,18952,0
80,775,1480,0
81,777,40611,0
82,778,46852,0
83,780,11679,0
84,782,18196,0
85,783,34240,0
86,784,41417,0
87,786,249,0
88,791,49551,0
89,794,29296,0
90,795,45573,0
91,901,6540,0
92,906,91,0
93,907,16819,0
94,909,5430,0
95,911,7617,0
96,912,5920,0
97,913,8495,0
98,915,27534,0
99,917,18316,0
100,918,16595,0
101,920,16698,0
102,921,35161,0
103,923,24754,0
104,924,51699,0
105,925,6796,0
106,926,99106,0
107,927,13503,0
108,934,25,0
109,936,749,0
110,949,76058,0
111,950,0,0
112,951,0,0
113,952,8467,0
114,953,72608,0
115,956,68452,0
116,957,40738,0
117,959,47849,0
118,960,2454,0
119,961,31017,0
120,962,19864,0
121,965,7659,0
122,966,16169,0
123,968,3368,0
124,969,43216,0
125,971,27449,0
126,976,60134,0
127,979,15203,0
128,982,14514,0
129,983,36687,0
130,985,32750,0
131,987,58583,0
132,1001,17537,0
133,1002,30280,0
134,1003,11131,0
135,1005,5014,0
136,1007,14906,0
137,1008,1272,0
138,1009,384,0
139,1010,3724,0
140,1011,1507,0
141,1012,531,0
142,1013,23026,0
143,1020,30148,1
144,1022,2604,0
145,1026,958,0
146,1027,17870,0
147,1028,16156,1
148,1029,728,0
149,1030,11211,0
150,1031,1151,0
151,1032,551,0
152,1033,6300,0
153,1034,2313,0
154,1035,5301,1
155,1036,5193,0
156,1037,772,0
157,1038,2897,0
158,1039,1129,0
159,1040,40362,1
160,1050,2334,0
161,1053,1658,0
162,1054,1997,0
163,1056,21331,0
164,1057,8801,0
165,1060,15729,0
166,1062,10587,0
167,1063,574,0
168,1066,9,0
169,1068,1849,0
170,1069,8919,0
171,1070,637,0
172,1071,1206,0
173,1072,1490,0
174,1073,6090,0
175,1074,477,0
176,1075,17755,0
177,1077,9711,0
178,1079,480,0
179,1080,2532,0
180,1081,1827,0
181,1082,10637,0
182,1083,3182,0
183,1084,183,0
184,1085,41652,0
185,1086,683,0
186,1088,399,0
187,1089,28671,1
188,1092,1133,0
189,1093,348,0
190,1094,327,0
191,1095,14659,0
192,1096,2607,0
193,1097,54,0
194,1098,1186,0
195,1103,2409,0
196,1104,23635,0
197,1105,11601,0
198,1106,16048,0
199,1107,11304,0
200,1108,28925,0
201,1109,30125,0
202,1118,14774,0
203,1119,13236,0
204,1128,2798,0
205,1129,6750,0
206,1151,8884,0
207,1199,0,0
208,1201,44775,0
209,1220,8211,0
210,1222,818,0
211,1223,2351,0
212,1224,209,0
213,1225,3169,0
214,1226,6839,0
215,1229,86,0
216,1230,8359,0
217,1235,2671,0
218,1236,1197,0
219,1237,2662,0
220,1238,5917,0
221,1240,4493,0
222,1242,475,0
223,1243,333,0
224,1244,108,0
225,1245,803,0
226,1247,15703,0
227,1253,742,0
228,1254,977,0
229,1255,859,0
230,1256,764,0
231,1257,2138,0
232,1258,357,0
233,1259,506,0
234,1260,447,0
235,1262,1110,0
236,1264,205,0
237,1266,1360,0
238,1267,7853,0
239,1270,813,0
240,1301,17715,0
241,1330,1468,0
242,1331,13281,0
243,1337,2626,0
244,1338,170,0
245,1339,1472,0
246,1340,1642,0
247,1341,1743,0
248,1342,1759,0
249,1343,46,0
250,1344,1518,0
251,1346,464,0
252,1347,126,0
253,1349,1231,0
254,1350,86,0
255,1351,2209,0
256,1354,1604,0
257,1355,917,0
258,1360,3012,0
259,1364,7819,0
260,1366,1218,0
261,1367,605,0
262,1368,1316,0
263,1370,4032,0
264,1373,4160,0
265,1375,3662,0
266,1376,5096,0
267,1378,744,0
268,1379,836,0
269,1420,40666,0
270,1430,6210,0
271,1431,3195,0
272,1432,7703,0
273,1434,1712,0
274,1436,3460,0
275,1438,563,0
276,1440,20496,0
277,1450,11282,0
278,1451,4630,0
279,1452,4581,0
280,1453,41446,0
281,1460,9754,0
282,1462,11150,0
283,1463,12049,0
284,1464,7572,0
285,1467,511,0
286,1468,4124,0
287,1469,7454,0
288,1473,7566,0
289,1474,1964,0
290,1475,10738,0
291,1501,16412,0
292,1503,3098,0
293,1504,9201,0
294,1505,4524,0
295,1506,3406,0
296,1507,13379,0
297,1510,13855,0
298,1515,2123,0
299,1516,8745,0
300,1518,3490,0
301,1519,6657,0
302,1520,15061,0
303,1521,2510,0
304,1522,3497,0
305,1523,7735,0
306,1524,6702,0
307,1525,227,0
308,1527,13521,0
309,1529,3237,0
310,1531,1247,0
311,1532,14918,0
312,1534,6262,0
313,1535,4760,0
314,1536,7709,0
315,1537,2337,0
316,1540,11386,0
317,1541,3438,0
318,1542,2299,0
319,1543,8463,0
320,1545,36269,1
321,1550,16858,0
322,1560,4477,0
323,1561,243,0
324,1562,11856,0
325,1564,8000,0
326,1566,6006,0
327,1568,7706,0
328,1569,13864,0
329,1570,16926,0
330,1571,11637,0
331,1581,18836,1
332,1583,7639,0
333,1585,4661,0
334,1588,9864,0
335,1590,9297,0
336,1602,24166,0
337,1603,19981,0
338,1604,36772,0
339,1605,28742,0
340,1606,19375,0
341,1607,8698,0
342,1608,3371,0
343,1609,20714,0
344,1610,23438,0
345,1611,2451,0
346,1612,4845,0
347,1701,32098,1
348,1702,39226,0
349,1718,716,0
350,1719,5546,0
351,1720,22680,0
352,1721,17478,0
353,1730,14031,1
354,1731,2012,0
355,1740,5167,0
356,1741,5160,0
357,1742,19383,0
358,1745,501,0
359,1746,14480,0
360,1747,5955,0
361,1748,16720,0
362,1749,19843,0
363,1752,39771,1
364,1754,10560,0
365,1756,5995,0
366,1757,28694,1
367,1760,35715,1
368,1770,4302,0
369,1772,9520,0
370,1773,4791,0
371,1775,7061,0
372,1776,18697,0
373,1778,13850,0
374,1801,40375,1
375,1803,26103,1
376,1810,35375,0
377,1821,32348,0
378,1824,25961,1
379,1826,30948,0
380,1827,3337,0
381,1830,26524,1
382,1832,23372,0
383,1833,8569,0
384,1834,6697,0
385,1835,13047,0
386,1840,5248,0
387,1841,48295,0
388,1843,25942,0
389,1844,49587,1
390,1845,30170,1
391,1850,16890,0
392,1851,29849,0
393,1852,34756,0
394,1854,29561,0
395,1860,6752,0
396,1862,10676,1
397,1863,9106,0
398,1864,15598,0
399,1867,24894,1
400,1876,30433,0
401,1879,12305,0
402,1880,26450,0
403,1886,24087,1
404,1887,23538,0
405,1890,22579,0
406,1901,1878,0
407,1902,48218,0
408,1904,17320,0
409,1905,25590,0
410,1906,28037,1
411,1907,14758,1
412,1908,3488,0
413,1913,17218,0
414,1915,41431,1
415,1921,8228,0
416,1922,2812,0
417,1923,27391,0
418,1929,3687,0
419,1930,29858,0
420,1937,136,0
421,1938,13810,0
422,1940,13425,0
423,1944,5327,0
424,1945,20393,0
425,1949,9656,0
