,zip code,num_of_fast_food
0,1001,291
1,1002,535
2,1003,196
3,1005,156
4,1007,63
5,1008,156
6,1010,1200
7,1011,66
8,1012,109
9,1013,465
10,1020,40
11,1022,1400
12,1026,1600
13,1027,530
14,1028,3900
15,1029,1400
16,1030,132
17,1031,335
18,1032,863
19,1033,1000
20,1034,854
21,1035,5300
22,1036,1400
23,1037,597
24,1038,2900
25,1039,479
26,1040,204
27,1050,3300
28,1053,33
29,1054,2700
30,1056,4900
31,1057,23
32,1060,189
33,1062,294
34,1063,272
35,1068,1200
36,1069,196
37,1070,907
38,1071,1400
39,1072,275
40,1073,128
41,1075,504
42,1077,32
43,1079,1600
44,1080,5300
45,1081,5100
46,1082,108
47,1083,34
48,1084,4700
49,1085,6400
50,1086,25
51,1088,854
52,1089,825
53,1092,37
54,1093,1600
55,1094,5200
56,1095,5300
57,1096,37
58,1098,534
59,1103,295
60,1104,1400
61,1105,3800
62,1106,278
63,1107,236
64,1108,2900
65,1109,106
66,1118,1200
67,1119,89
68,1128,3700
69,1129,462
70,1151,8100
71,1201,126
72,1220,382
73,1222,1000
74,1223,2200
75,1225,1400
76,1226,1300
77,1230,126
78,1235,5700
79,1236,5200
80,1237,3900
81,1238,2900
82,1240,447
83,1242,3700
84,1243,447
85,1245,605
86,1247,534
87,1253,4800
88,1254,1800
89,1255,2900
90,1256,1400
91,1257,93
92,1258,124
93,1259,42
94,1262,5000
95,1264,2900
96,1266,2400
97,1267,1600
98,1270,5000
99,1301,1400
100,1330,1500
101,1331,2900
102,1337,2700
103,1338,3800
104,1339,3700
105,1340,361
106,1341,1200
107,1342,6200
108,1343,246
109,1344,3700
110,1346,469
111,1347,37
112,1349,7500
113,1350,514
114,1351,146
115,1354,3900
116,1355,2700
117,1360,7100
118,1364,871
119,1366,1600
120,1367,6
121,1368,276
122,1370,724
123,1373,500
124,1375,2600
125,1376,347
126,1378,39
127,1379,1300
128,1420,1800
129,1430,2100
130,1431,1300
131,1432,6300
132,1434,1900
133,1436,597
134,1438,533
135,1440,1500
136,1450,5200
137,1451,815
138,1452,856
139,1453,921
140,1460,5000
141,1462,7000
142,1463,1500
143,1464,2500
144,1468,5300
145,1469,2900
146,1473,38
147,1474,2700
148,1475,2200
149,1501,561
150,1503,1400
151,1504,1400
152,1505,1000
153,1506,7800
154,1507,2600
155,1510,5300
156,1515,42
157,1516,561
158,1518,1600
159,1519,2000
160,1520,4000
161,1521,3000
162,1522,5900
163,1523,5100
164,1524,561
165,1527,124
166,1529,1200
167,1531,3600
168,1532,136
169,1534,106
170,1535,1300
171,1536,2900
172,1537,5900
173,1540,354
174,1541,191
175,1542,159
176,1543,2100
177,1545,7700
178,1550,1400
179,1560,35
180,1562,1900
181,1564,41
182,1566,220
183,1568,4
184,1569,1200
185,1570,291
186,1571,63
187,1581,1500
188,1583,274
189,1585,287
190,1588,2100
191,1590,2000
192,1602,1900
193,1603,297
194,1604,1400
195,1605,376
196,1606,271
197,1607,1500
198,1608,2600
199,1609,813
200,1610,1200
201,1611,1200
202,1612,43
203,1701,639
204,1702,690
205,1718,1400
206,1719,4100
207,1720,8700
208,1721,7500
209,1730,2100
210,1731,1100
211,1740,801
212,1741,396
213,1742,5300
214,1745,3500
215,1746,2900
216,1747,983
217,1748,2300
218,1749,255
219,1752,686
220,1754,197
221,1756,2100
222,1757,1600
223,1760,2600
224,1770,60
225,1772,164
226,1773,90
227,1775,2200
228,1776,2900
229,1778,338
230,1801,2100
231,1803,5200
232,1810,8000
233,1821,640
234,1824,2700
235,1826,246
236,1827,1200
237,1830,279
238,1832,103
239,1833,239
240,1834,7000
241,1835,1600
242,1840,806
243,1841,1600
244,1843,494
245,1844,384
246,1845,2300
247,1850,34
248,1851,598
249,1852,30
250,1854,561
251,1860,1200
252,1862,179
253,1863,41
