,zip_code,num_of_fast_food,num_of_mex-restaurants
0,1001,87,30
1,1002,38,33
2,1003,18,14
3,1005,7,632
4,1007,255,97
5,1008,7,5
6,1010,37,7
7,1011,218,88
8,1012,11,234
9,1013,158,51
10,1020,85,26
11,1022,76,23
12,1026,489,216
13,1027,239,93
14,1028,64,28
15,1029,9,449
16,1030,79,20
17,1031,266,97
18,1032,27,18
19,1033,127,55
20,1034,309,117
21,1035,46,34
22,1036,15,7
23,1037,10,596
24,1038,28,28
25,1039,39,32
26,1040,161,75
27,1050,16,5
28,1053,14,16
29,1054,49,22
30,1056,148,62
31,1057,45,10
32,1060,64,38
33,1062,61,39
34,1063,10,14
35,1068,15,5
36,1069,39,11
37,1070,5,215
38,1071,34,9
39,1072,39,16
40,1073,137,63
41,1075,138,63
42,1077,160,44
43,1079,8,15
44,1080,8,22
45,1081,400,136
46,1082,261,95
47,1083,37,7
48,1084,610,250
49,1085,268,105
50,1086,18,5
51,1088,22,20
52,1089,177,59
53,1092,11,105
54,1093,10,62
55,1094,11,657
56,1095,149,53
57,1096,26,20
58,1098,652,270
59,1103,23,8
60,1104,113,39
61,1105,41,18
62,1106,74,31
63,1107,50,22
64,1108,76,30
65,1109,110,37
66,1118,79,29
67,1119,81,30
68,1128,12,53
69,1129,69,26
70,1151,79,31
71,1201,29,17
72,1220,17,10
73,1222,46,33
74,1223,76,35
75,1225,31,17
76,1226,28,13
77,1230,57,42
78,1235,33,12
79,1236,6,7
80,1237,67,33
81,1238,34,21
82,1240,34,16
83,1242,12,30
84,1243,11,387
85,1245,19,10
86,1247,52,35
87,1253,12,488
88,1254,5,60
89,1255,1200,534
90,1256,17,10
91,1257,11,14
92,1258,11,14
93,1259,12,11
94,1262,33,22
95,1264,6,33
96,1266,20,14
97,1267,65,37
98,1270,14,328
99,1301,19,5
100,1330,13,188
101,1331,116,50
102,1337,20,5
103,1338,83,55
104,1339,111,64
105,1340,19,5
106,1341,32,12
107,1342,25,6
108,1343,73,40
109,1344,26,243
110,1346,8,166
111,1347,12,41
112,1349,5,44
113,1350,71,37
114,1351,24,241
115,1354,20,232
116,1355,181,66
117,1360,21,242
118,1364,95,41
119,1366,203,71
120,1367,6,194
121,1368,18,406
122,1370,25,5
123,1373,52,33
124,1375,52,34
125,1376,18,42
126,1378,7,255
127,1379,18,253
128,1420,46,24
129,1430,46,24
130,1431,50,24
131,1432,87,51
132,1434,7,299
133,1436,7,35
134,1438,8,71
135,1440,15,7
136,1450,108,62
137,1451,97,58
138,1452,14,6
139,1453,53,29
140,1460,108,54
141,1462,42,24
142,1463,121,64
143,1464,75,41
144,1468,15,486
145,1469,60,31
146,1473,45,23
147,1474,275,130
148,1475,18,5
149,1501,77,33
150,1503,42,19
151,1504,32,9
152,1505,172,76
153,1506,37,7
154,1507,122,42
155,1510,22,5
156,1515,11,71
157,1516,60,14
158,1518,39,7
159,1519,39,16
160,1520,126,51
161,1521,13,118
162,1522,106,53
163,1523,95,52
164,1524,147,50
165,1527,188,66
166,1529,31,7
167,1531,14,706
168,1532,193,89
169,1534,11,278
170,1535,20,761
171,1536,70,27
172,1537,34,7
173,1540,114,39
174,1541,53,27
175,1542,52,19
176,1543,82,41
177,1545,196,83
178,1550,56,13
179,1560,25,6
180,1562,110,36
181,1564,87,34
182,1566,36,5
183,1568,179,76
184,1569,86,28
185,1570,16,168
186,1571,75,14
187,1581,200,98
188,1583,149,58
189,1585,41,7
190,1588,11,304
191,1590,153,57
192,1602,99,41
193,1603,111,42
194,1604,111,45
195,1605,87,38
196,1606,82,37
197,1607,48,20
198,1608,30,21
199,1609,91,38
200,1610,53,27
201,1611,88,35
202,1612,123,48
203,1701,188,105
204,1702,184,95
205,1718,29,19
206,1719,28,16
207,1720,167,86
208,1721,176,89
209,1730,587,414
210,1731,54,25
211,1740,153,73
212,1741,41,18
213,1742,238,123
214,1745,67,38
215,1746,177,88
216,1747,24,11
217,1748,188,86
218,1749,165,87
219,1752,175,93
220,1754,24,16
221,1756,96,33
222,1757,31,13
223,1760,300,161
224,1770,262,140
225,1772,57,24
226,1773,64,39
227,1775,32,19
228,1776,216,119
229,1778,279,156
230,1801,863,667
231,1803,653,477
232,1810,240,99
233,1821,305,174
234,1824,225,100
235,1826,258,108
236,1827,153,68
237,1830,139,73
238,1832,57,28
239,1833,122,58
240,1834,26,14
241,1835,61,29
242,1840,50,21
243,1841,91,45
244,1843,72,37
245,1844,192,86
246,1845,219,91
247,1850,42,16
248,1851,45,19
249,1852,81,35
250,1854,89,38
251,1860,29,18
252,1862,284,125
253,1863,78,31
254,1864,330,167
255,1867,109,40
256,1876,280,119
257,1879,184,76
258,1880,111,52
259,1886,148,65
260,1887,305,147
261,1890,188,154
262,1901,21,20
263,1902,40,30
264,1904,155,110
265,1905,155,136
266,1906,178,149
267,1907,99,79
268,1908,102,79
269,1913,89,55
270,1915,184,120
271,1921,190,86
272,1922,16,10
273,1923,88,51
274,1929,99,68
275,1930,41,41
276,1937,20,143
277,1938,568,407
278,1940,123,58
279,1944,11,17
280,1945,97,70
281,1949,305,159
282,1950,55,35
283,1951,47,29
284,1952,56,36
285,1960,356,279
286,1966,9,13
287,1969,58,31
288,1970,277,248
289,1982,133,81
290,1983,23,862
291,1984,169,108
292,1985,21,13
293,2019,117,46
294,2021,333,169
295,2025,16,14
296,2026,101,55
297,2030,520,368
298,2032,18,7
299,2035,176,65
300,2038,130,56
301,2043,439,285
302,2045,526,425
303,2048,208,92
304,2050,54,27
305,2052,13,5
306,2053,39,16
307,2054,15,12
308,2056,33,15
309,2061,122,63
310,2062,68,30
311,2066,61,34
312,2067,214,86
313,2071,6,6
314,2072,242,101
315,2081,236,115
316,2090,800,544
317,2093,159,67
318,2108,260,203
319,2109,204,168
320,2110,209,175
321,2111,225,198
322,2113,74,52
323,2114,243,188
324,2115,445,375
325,2116,271,216
326,2118,429,361
327,2119,339,282
328,2120,393,334
329,2121,120,98
330,2122,859,699
331,2124,67,36
332,2125,209,186
333,2126,46,30
334,2127,615,544
335,2128,520,489
336,2129,398,374
337,2130,624,497
338,2131,61,42
339,2132,340,262
340,2134,293,275
341,2135,652,540
342,2136,145,80
343,2138,642,578
344,2139,456,402
345,2140,159,140
346,2141,485,441
347,2142,239,198
348,2143,422,374
349,2144,149,137
350,2145,304,266
351,2148,454,393
352,2149,124,150
353,2150,149,170
354,2151,439,401
355,2152,318,295
356,2155,551,453
357,2163,40,29
358,2169,847,658
359,2170,55,20
360,2171,378,276
361,2176,214,192
362,2180,172,115
363,2184,109,44
364,2186,857,629
365,2188,99,47
366,2189,97,47
367,2190,72,34
368,2191,93,43
369,2199,35,35
370,2210,296,256
371,2215,424,346
372,2301,63,22
373,2302,184,72
374,2322,79,28
375,2324,98,32
376,2330,61,26
377,2332,65,30
378,2333,25,10
379,2338,114,46
