,zip code,num_of_fast_food
0,01001,30
1,01002,33
2,01003,14
3,01005,632
4,01007,97
5,01008,5
6,01010,7
7,01011,88
8,01012,234
9,01013,51
10,01020,26
11,01022,23
12,01026,216
13,01027,93
14,01028,28
15,01029,449
16,01030,20
17,01031,97
18,01032,18
19,01033,55
20,01034,117
21,01035,34
22,01036,7
23,01037,596
24,01038,28
25,01039,32
26,01040,75
27,01050,5
28,01053,16
29,01054,22
30,01056,62
31,01057,10
32,01060,38
33,01062,39
34,01063,14
35,01068,5
36,01069,11
37,01070,215
38,01071,9
39,01072,16
40,01073,63
41,01075,63
42,01077,44
43,01079,15
44,01080,22
45,01081,136
46,01082,95
47,01083,7
48,01084,250
49,01085,105
50,01086,5
51,01088,20
52,01089,59
53,01092,105
54,01093,62
55,01094,657
56,01095,53
57,01096,20
58,01098,270
59,01103,8
60,01104,39
61,01105,18
62,01106,31
63,01107,22
64,01108,30
65,01109,37
66,01118,29
67,01119,30
68,01128,53
69,01129,26
70,01151,31
71,01201,17
72,01220,10
73,01222,33
74,01223,35
75,01225,17
76,01226,13
77,01230,42
78,01235,12
79,01236,7
80,01237,33
81,01238,21
82,01240,16
83,01242,30
84,01243,387
85,01245,10
86,01247,35
87,01253,488
88,01254,60
89,01255,534
90,01256,10
91,01257,14
92,01258,14
93,01259,11
94,01262,22
95,01264,33
96,01266,14
97,01267,37
98,01270,328
99,01301,5
100,01330,188
101,01331,50
102,01337,5
103,01338,55
104,01339,64
105,01340,5
106,01341,12
107,01342,6
108,01343,40
109,01344,243
110,01346,166
111,01347,41
112,01349,44
113,01350,37
114,01351,241
115,01354,232
116,01355,66
117,01360,242
118,01364,41
119,01366,71
120,01367,194
121,01368,406
122,01370,5
123,01373,33
124,01375,34
125,01376,42
126,01378,255
127,01379,253
128,01420,24
129,01430,24
130,01431,24
131,01432,51
132,01434,299
133,01436,35
134,01438,71
135,01440,7
136,01450,62
137,01451,58
138,01452,6
139,01453,29
140,01460,54
141,01462,24
142,01463,64
143,01464,41
144,01468,486
145,01469,31
146,01473,23
147,01474,130
148,01475,5
149,01501,33
150,01503,19
151,01504,9
152,01505,76
153,01506,7
154,01507,42
155,01510,5
156,01515,71
157,01516,14
158,01518,7
159,01519,16
160,01520,51
161,01521,118
162,01522,53
163,01523,52
164,01524,50
165,01527,66
166,01529,7
167,01531,706
168,01532,89
169,01534,278
170,01535,761
171,01536,27
172,01537,7
173,01540,39
174,01541,27
175,01542,19
176,01543,41
177,01545,83
178,01550,13
179,01560,6
180,01562,36
181,01564,34
182,01566,5
183,01568,76
184,01569,28
185,01570,168
186,01571,14
187,01581,98
188,01583,58
189,01585,7
190,01588,304
191,01590,57
192,01602,41
193,01603,42
194,01604,45
195,01605,38
196,01606,37
197,01607,20
198,01608,21
199,01609,38
200,01610,27
201,01611,35
202,01612,48
203,01701,105
204,01702,95
205,01718,19
206,01719,16
207,01720,86
208,01721,89
209,01730,414
210,01731,25
211,01740,73
212,01741,18
213,01742,123
214,01745,38
215,01746,88
216,01747,11
217,01748,86
218,01749,87
219,01752,93
220,01754,16
221,01756,33
222,01757,13
223,01760,161
224,01770,140
225,01772,24
226,01773,39
227,01775,19
228,01776,119
229,01778,156
230,01801,667
231,01803,477
232,01810,99
233,01821,174
234,01824,100
235,01826,108
236,01827,68
237,01830,73
238,01832,28
239,01833,58
240,01834,14
241,01835,29
242,01840,21
243,01841,45
244,01843,37
245,01844,86
246,01845,91
247,01850,16
248,01851,19
249,01852,35
250,01854,38
251,01860,18
252,01862,125
253,01863,31
254,01864,167
255,01867,40
256,01876,119
